"","rab.all","rab.win.Fall","rab.win.Spring","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"1CMET2-PWY",4.54452728808922,5.09256203192297,4.17421333013994,-1.03049490417753,1.95591509232578,-0.467957137619972,0.278893355743288,1.02559242475101e-05,0.000220305358276237,0.000481839065538344,0.0036036091254181
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",1.58753869989261,0.736311521205332,2.02915394847222,1.64139045473216,3.16390704764937,0.444012200477433,0.287053575748864,0.000343589871055033,0.00208164189575133,0.000907088102413489,0.00592954561249387
"AEROBACTINSYN-PWY",-3.42491979190563,-3.83623595400743,-2.99241802026521,0.591514773013897,5.13696772987657,0.101523050044638,0.442213298606843,0.592656200722173,0.697596830632735,0.377797044139212,0.528901266770393
"ALL-CHORISMATE-PWY",1.535793491944,1.09153458809336,2.01978795508974,0.79361944096324,2.60729901148557,0.235215283507656,0.341517860068933,0.0168326860507936,0.0437842610662788,0.0125819701388726,0.0387376021104461
"ANAEROFRUCAT-PWY",4.07087329250919,4.14322255882855,3.99697839067419,-0.0842552409409842,2.04982376488398,-0.0304791167654816,0.47633928610813,0.0682653317946083,0.13014957237582,0.611705766935404,0.75184292254132
"ANAGLYCOLYSIS-PWY",4.23170465769097,4.20068938330626,4.25540637681923,0.0504318943867874,1.78437814457055,0.0198647224723283,0.48571428595174,0.0498581444021735,0.103457775097645,0.898052880491097,0.949832770062931
"ARG+POLYAMINE-SYN",2.45726735938955,2.3069627954273,2.80816553287362,0.326385813989019,2.05860728588961,0.131938223165344,0.429718876691716,0.183190405363906,0.297205317602872,0.228327817865013,0.366397695687293
"ARGDEG-PWY",-0.183044151847535,-0.383195315040406,0.0346423982405675,0.87429978713528,4.29525312533484,0.175965367698928,0.402678573108553,0.235533264075192,0.351655444950155,0.132023225243803,0.237838554044851
"ARGORNPROST-PWY",3.27760116020382,3.5474614060123,3.00818674861354,-0.810135471332167,2.22782225757487,-0.337022368801222,0.340026776718928,0.0167722077919652,0.0389373323661906,0.0132712142957867,0.040350176629004
"ARGSYN-PWY",4.51714612542174,5.05337857086124,4.19360800446487,-0.876056554500283,1.98105696940309,-0.387977984154436,0.316376621103375,6.30227016362395e-05,0.000624627056701402,0.00496342068581854,0.020264102266135
"ARGSYNBSUB-PWY",4.56194705535573,5.15017070605138,4.24005550331125,-0.901284367702177,2.02428242808078,-0.400320362929457,0.3053571466672,4.38013328417709e-05,0.00055395455713644,0.00305142734428543,0.01466595297445
"ARO-PWY",4.58007561937723,4.85151902269698,4.33754461746305,-0.578868164311882,1.71175938730324,-0.273328456538013,0.348660717052682,0.000577857832792384,0.00306852643423102,0.0196056158033902,0.0534765474283412
"ASPASN-PWY",3.31426396843997,3.21749501586259,3.4904213309869,0.360631262650948,1.71209058396872,0.177343645681275,0.395982144662841,0.0612478366193756,0.121505676711483,0.119157414495755,0.218661847830982
"AST-PWY",2.33237728628956,3.14988778499873,1.60920383072875,-1.33002065673366,3.00313028175703,-0.396476179211749,0.33035714604113,0.0130709561182088,0.0322114288220574,0.00716710766202505,0.0261732240269474
"BIOTIN-BIOSYNTHESIS-PWY",3.5657280264357,3.95417453546413,3.37867710896915,-0.665628223228266,1.93263528693871,-0.305771128371373,0.348058905053494,0.00496382179012692,0.0163973197233075,0.0191054687938643,0.0525635360689432
"BRANCHED-CHAIN-AA-SYN-PWY",4.89734987960037,5.11511085140654,4.70921971268003,-0.498072225527181,1.88692852302174,-0.237017665302109,0.376171354263963,0.00139836838830234,0.00619178697538301,0.0585330943134701,0.122903590439805
