"","rab.all","rab.win.Fall","rab.win.Spring","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"2",1.57231425079383,0.728824603160147,2.02554297889537,1.58845798208653,3.21106189338075,0.419367192255132,0.287817942714474,0.000373281256069941,0.00219515592266925,0.000874015019879194,0.0057517044693834
"4",1.53708560497377,1.0723427798862,2.012698969907,0.880695833094529,2.67265584809262,0.239247827217791,0.33660714589524,0.0162530883712744,0.0426216025940585,0.0126074290343408,0.0388050928653681
"19",1.5825971147611,1.08870654156119,2.16268231397902,1.0905868738782,2.66596444274793,0.320891700656487,0.317410717784819,0.0158665739477892,0.038315799760012,0.0039908366244117,0.0176429936079288
"22",-2.80133446129345,-3.95148895246118,-1.14260077910362,2.41578410129861,4.74724570551524,0.450846062875541,0.254017862532669,0.017489119939598,0.039510246016665,0.000177640750942886,0.00164766523528163
"35",1.73151254963138,0.832034224648375,2.36503665639065,1.61574279061,2.42534348621827,0.610243855714155,0.213743871412248,6.11065544977764e-05,0.000516638184746151,3.46327178790901e-06,8.14095429826452e-05
"43",1.88282756974082,0.901544373106482,2.60204338131034,1.62486570463308,2.09036422966406,0.661602719228344,0.181250008918329,1.92264591042896e-05,0.000295426564468783,3.39439351449542e-07,1.34993702704896e-05
"44",1.00323510201428,0.0893718373515213,1.37015983648719,1.27140998454578,3.4620304456774,0.300772784902925,0.341517860068933,0.00405771355619186,0.0139362742825386,0.016241531392332,0.0465362023317372
"45",2.52817440480553,1.86891978242146,2.93266542744726,1.16188184260057,2.21202565787012,0.449884259831827,0.259821433756867,0.000457389696292294,0.00255676295401379,0.000194792323993605,0.00188391412033208
"49",1.07796524764863,0.178741597333437,1.44377271094408,1.17754128056972,3.50344037666859,0.280969135693588,0.347612675701428,0.00397919951450994,0.0137459599381027,0.0147616706868646,0.0434107440618693
"50",1.02627483938862,0.103049058284937,1.38072346790568,1.21252774285599,3.39992096601048,0.295001902490056,0.347166446349379,0.00415271440567389,0.0141890792864211,0.0173446120410556,0.0488343031380054
"63",-0.399955499767943,-1.11636643006427,0.353632678194023,1.53670096142046,3.60899667864645,0.375474469124437,0.3147321464238,0.00791856057191324,0.0235783433740311,0.004319477136069,0.0185077218249243
"74",0.810757473161035,-0.294962388994825,1.88087570339358,2.12194600092638,2.81052357637895,0.580941923079925,0.20303436727415,3.3924793330771e-05,0.000427635959971624,8.59060578658752e-07,2.86700119634483e-05
"84",1.43529728028422,0.819465873133507,1.71940261174962,0.854906491803643,2.51931046399713,0.292310951298382,0.356537262745812,0.01770195437822,0.0457247989813763,0.0216144917778849,0.0574292058295548
"93",3.90879986313653,3.6751934478628,4.29511316501648,0.691099646798782,1.5010096221588,0.365255891952612,0.276785718915639,0.00328365737459983,0.0114912720184718,0.000298990923474533,0.00252658410259978
"94",2.36195094833803,1.42175143141639,3.51925969528016,2.40242965842447,2.36640356928764,0.925097927769331,0.0919232688297837,1.38808844245708e-07,1.29503648092864e-05,2.93409975380992e-12,1.32327898896827e-09
"104",2.31267440751308,1.73053623504108,2.83192320930061,1.08317840822499,2.0458865130437,0.417612383271113,0.249442218849371,0.000119230725056243,0.00089047338249897,6.29632078747221e-05,0.000818585462362889
"107",0.94679743760974,0.0748540486009093,2.63346811410664,2.64673048047223,2.94928492988092,0.7862561306023,0.135267870089595,7.76383757389761e-05,0.000412479286599842,1.72997057247941e-09,2.50229178765085e-07
"111",3.16237094930423,2.63490583662214,3.58913287135241,1.14364477585732,1.28861495099994,0.806418772766208,0.155287828839898,0.000106960860892516,0.000457628386292043,9.94606604299862e-09,8.20250664974704e-07
"115",-4.27156957977181,-4.87079709940536,-2.47686539975501,3.1916645248347,6.49448442280254,0.449890606619284,0.328424813579521,0.0166474681638002,0.0375457445065121,0.00856641996298754,0.0277258518801993
"124",2.83231414400362,2.47886888186672,3.16574487517928,0.86241226053498,2.04880978493864,0.312666116703734,0.33020973098472,0.0081270680223422,0.024341031317433,0.00700401547843075,0.0257497244352699
"125",3.0186671614664,2.35540221855245,3.72873834092954,1.79617916983543,2.6418043115696,0.601789027680664,0.214285721331619,2.56987126128975e-05,0.000344052015835412,3.52343667017728e-06,8.37855579346771e-05
"128",-4.29604690160878,-5.45067589265709,-1.85287213473394,3.03006174950715,6.60745253811176,0.452768619699271,0.29196428989274,0.00743033171157586,0.0197404149205159,0.00183815091290771,0.00907726827093496
"130",-4.27008894718881,-5.35551916000707,-2.31606606700479,3.45870916545019,5.82342809973594,0.483417029108398,0.302232146750881,0.0113711642079329,0.0276778529595588,0.00259218569669873,0.012023020655528
"142",-3.50235965921225,-4.46269740406206,-1.1247804926606,3.03770049835131,5.4607950424961,0.477590643508258,0.265625004988697,0.00636782778324079,0.0173704322625382,0.000323807763185945,0.00259010456214861
"148",2.07282294250167,1.17518646492344,3.19724061870883,1.93198982780534,2.20480214607975,0.796346026826533,0.145470783807873,1.66788357966672e-06,5.25056426821278e-05,9.21908784267603e-09,8.02810231616875e-07
"164",2.05744004526642,0.807531498637018,2.79431394608812,1.98202104074059,3.17069534219273,0.48521090663364,0.252678576866688,0.0152806125402379,0.0364510034452715,0.000139580967803279,0.00149338056631337
"173",1.21460052816221,0.178279509401529,1.68248752015577,1.77421644209943,3.19331755337494,0.513315038854435,0.239732148786264,0.000657452351575132,0.00249136792067527,2.88541633266118e-05,0.000444591529191153
"178",1.70788551163861,1.09209288700498,2.15686786563944,1.18352933660747,2.75870796386744,0.32428087655985,0.315930391752722,0.00934543997218025,0.025568532948026,0.00357024003908705,0.0164241983290231
"179",0.90981012698058,-0.283217251293564,1.74990249735162,2.05649243543342,3.42212508241662,0.514577121801935,0.233482149040339,0.00125791470169528,0.00459437230232947,2.78597341589393e-05,0.000432888551673765
"180",1.21868157256061,0.124552297473438,1.81773092615315,1.56387388961022,3.08908645232963,0.386961162513025,0.276785718915639,0.0128961476782157,0.0308221119243173,0.00041470474068826,0.0032173945517731
"183",1.71276710049734,1.09011396835335,2.15318184516612,1.19744472929109,2.68986469543802,0.351910007566184,0.312806786298819,0.014138271206783,0.0344120380846026,0.00364213990978729,0.0165741936587781
"186",1.81052822978245,0.878814521970003,2.43691951783552,1.30958812764395,2.19796623038868,0.432630712746079,0.294957612300814,0.0187809894597504,0.0407742679153585,0.00112607517423457,0.0069743114129941
"190",-2.19595113407732,-3.36287152219542,-0.529142962496599,2.37728661799064,5.07382190878449,0.419337858853696,0.259259264459507,0.021289463599121,0.045165756420871,0.000182137360828053,0.00163731291604404
"194",-1.98772082990932,-2.6038791523212,-0.742765023559325,1.83352915112533,3.32367454022211,0.476065507680436,0.250780906885722,0.00393419113679115,0.0109367730266115,9.10447338510026e-05,0.000981543078797447
"196",-0.434063937772524,-2.06785864982115,0.614971323937594,2.75885725230639,3.33266043547559,0.712903681638491,0.162500010296703,4.84605544562747e-05,0.000317171687553836,3.73346221324273e-08,2.02692203667383e-06
